root,subcategories,entries,link
د م ي,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%85_%D9%8A
د ن ء,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%86_%D8%A1
د ن ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%86_%D8%B1
د ن و,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%86_%D9%88
د ن ي,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%86_%D9%8A
د ه س,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%87_%D8%B3
د ه ش,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%87_%D8%B4
د ه م,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%87_%D9%85
د ه ن,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%87_%D9%86
د و ح,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%88_%D8%AD
د و خ,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%88_%D8%AE
د و ر,0,16,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%88_%D8%B1
د و س,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%88_%D8%B3
د و ل,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%88_%D9%84
د و م,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%88_%D9%85
د و ي,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%88_%D9%8A
د ي ث,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%8A_%D8%AB
د ي ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%8A_%D8%B1
د ي ن,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AF_%D9%8A_%D9%86
ذ ب ب,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%A8_%D8%A8
ذ ب ح,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%A8_%D8%AD
ذ ب ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%A8_%D8%B1
ذ ب ل,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%A8_%D9%84
ذ خ ر,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%AE_%D8%B1
ذ خ س,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%AE_%D8%B3
ذ ر ء,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%B1_%D8%A1
ذ ر ر,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%B1_%D8%B1
ذ ر ع,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%B1_%D8%B9
ذ ر ف,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%B1_%D9%81
ذ ر ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%B1_%D9%82
ذ ر و,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%B1_%D9%88
ذ ر ي,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%B1_%D9%8A
ذ ع ن,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D8%B9_%D9%86
ذ ق ن,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%82_%D9%86
ذ ك ر,0,17,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%83_%D8%B1
ذ ك و,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%83_%D9%88
ذ ك ي,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%83_%D9%8A
ذ ل ل,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%84_%D9%84
ذ ل ي,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%84_%D9%8A
ذ م ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%85_%D8%B1
ذ م م,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%85_%D9%85
ذ ن ب,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%86_%D8%A8
ذ ه ب,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%87_%D8%A8
ذ ه ل,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%87_%D9%84
ذ ه ن,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%87_%D9%86
ذ و ب,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%88_%D8%A8
ذ و د,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%88_%D8%AF
ذ و ق,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%88_%D9%82
ذ ي ع,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%8A_%D8%B9
ذ ي ل,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B0_%D9%8A_%D9%84
ر ء ب,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A1_%D8%A8
ر ء س,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A1_%D8%B3
ر ء ف,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A1_%D9%81
ر ء ي,0,10,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A1_%D9%8A
ر ب ب,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A8_%D8%A8
ر ب ح,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A8_%D8%AD
ر ب د,0,9,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A8_%D8%AF
ر ب ش,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A8_%D8%B4
ر ب ض,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A8_%D8%B6
ر ب ط,0,9,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A8_%D8%B7
ر ب ع,0,11,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A8_%D8%B9
ر ب ك,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A8_%D9%83
ر ب و,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%A8_%D9%88
ر ت ب,0,9,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AA_%D8%A8
ر ت ع,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AA_%D8%B9
ر ت ل,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AA_%D9%84
ر ث ي,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AB_%D9%8A
ر ج ج,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AC_%D8%AC
ر ج ح,0,9,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AC_%D8%AD
ر ج س,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AC_%D8%B3
ر ج ع,0,8,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AC_%D8%B9
ر ج ف,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AC_%D9%81
ر ج ل,0,8,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AC_%D9%84
ر ج م,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AC_%D9%85
ر ج ن,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AC_%D9%86
ر ج و,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AC_%D9%88
ر ح ب,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AD_%D8%A8
ر ح ح,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AD_%D8%AD
ر ح ض,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AD_%D8%B6
ر ح ل,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AD_%D9%84
ر ح م,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AD_%D9%85
ر ح و,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AD_%D9%88
ر خ ص,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AE_%D8%B5
ر خ م,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AE_%D9%85
ر خ و,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AE_%D9%88
ر خ ي,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AE_%D9%8A
ر د ء,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AF_%D8%A1
ر د د,0,13,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AF_%D8%AF
ر د ع,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AF_%D8%B9
ر د ف,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AF_%D9%81
ر د م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AF_%D9%85
ر د ه,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AF_%D9%87
ر د ي,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%AF_%D9%8A
ر ذ ذ,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B0_%D8%B0
ر ز ز,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B2_%D8%B2
ر ز ق,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B2_%D9%82
ر ز م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B2_%D9%85
ر س ب,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B3_%D8%A8
ر س خ,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B3_%D8%AE
ر س ل,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B3_%D9%84
ر س م,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B3_%D9%85
ر س و,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B3_%D9%88
ر ش ح,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B4_%D8%AD
ر ش د,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B4_%D8%AF
ر ش ش,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B4_%D8%B4
ر ش ف,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B4_%D9%81
ر ش ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B4_%D9%82
ر ش و,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B4_%D9%88
ر ص د,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B5_%D8%AF
ر ص ص,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B5_%D8%B5
ر ص ع,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B5_%D8%B9
ر ص ف,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B5_%D9%81
ر ض ض,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B6_%D8%B6
ر ض ع,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B6_%D8%B9
ر ض و,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B6_%D9%88
ر ض ي,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B6_%D9%8A
ر ط ب,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B7_%D8%A8
ر ط ن,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B7_%D9%86
ر ط ي,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B7_%D9%8A
ر ع ب,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B9_%D8%A8
ر ع د,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B9_%D8%AF
ر ع ش,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B9_%D8%B4
ر ع ع,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B9_%D8%B9
ر ع ن,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B9_%D9%86
ر ع ي,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%B9_%D9%8A
ر غ م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%BA_%D9%85
ر غ ن,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D8%BA_%D9%86
ر ف ء,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%81_%D8%A1
ر ف د,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%81_%D8%AF
ر ف س,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%81_%D8%B3
ر ف ض,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%81_%D8%B6
ر ف ع,0,11,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%81_%D8%B9
ر ف ف,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%81_%D9%81
ر ف ق,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%81_%D9%82
ر ف ه,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%81_%D9%87
ر ق ب,0,8,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%82_%D8%A8
ر ق د,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%82_%D8%AF
ر ق ص,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%82_%D8%B5
ر ق ع,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%82_%D8%B9
ر ق ق,0,8,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%82_%D9%82
ر ق م,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%82_%D9%85
ر ق ي,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%82_%D9%8A
ر ك ب,0,8,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%83_%D8%A8
ر ك ز,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%83_%D8%B2
ر ك س,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%83_%D8%B3
ر ك ض,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%83_%D8%B6
ر ك ع,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%83_%D8%B9
ر ك ك,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%83_%D9%83
ر ك ل,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%83_%D9%84
ر ك م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%83_%D9%85
ر ك و,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%83_%D9%88
ر م ث,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%85_%D8%AB
ر م ح,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%85_%D8%AD
ر م ز,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%85_%D8%B2
ر م ض,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%85_%D8%B6
ر م ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%85_%D9%82
ر م م,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%85_%D9%85
ر م ي,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%85_%D9%8A
ر ن ح,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%86_%D8%AD
ر ن ن,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%86_%D9%86
ر ه ب,0,8,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%87_%D8%A8
ر ه ف,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%87_%D9%81
ر ه ق,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%87_%D9%82
ر ه ل,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%87_%D9%84
ر ه م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%87_%D9%85
ر ه ن,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%87_%D9%86
ر و ب,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D8%A8
ر و ج,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D8%AC
ر و ح,0,14,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D8%AD
ر و د,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D8%AF
ر و ش,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D8%B4
ر و ض,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D8%B6
ر و ع,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D8%B9
ر و غ,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D8%BA
ر و ق,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D9%82
ر و م,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D9%85
ر و ي,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%88_%D9%8A
ر ي ب,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%8A_%D8%A8
ر ي ث,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%8A_%D8%AB
ر ي ش,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%8A_%D8%B4
ر ي ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%8A_%D9%82
ر ي م,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%8A_%D9%85
ر ي ن,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B1_%D9%8A_%D9%86
ز ء ر,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%A1_%D8%B1
ز ء م,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%A1_%D9%85
ز ب ب,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%A8_%D8%A8
ز ب د,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%A8_%D8%AF
ز ب ر,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%A8_%D8%B1
ز ب ط,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%A8_%D8%B7
ز ب ل,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%A8_%D9%84
ز ب ي,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%A8_%D9%8A
ز ج ج,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%AC_%D8%AC
ز ج ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%AC_%D8%B1
ز ح ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%AD_%D8%B1
ز ح ف,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%AD_%D9%81
ز ح ل,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%AD_%D9%84
ز ح م,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%AD_%D9%85
ز خ خ,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%AE_%D8%AE
ز ر ب,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%B1_%D8%A8
ز ر د,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%B2_%D8%B1_%D8%AF
